nombre,mean,countNonZero,dft mean,
Gradient Y,[-0.0833333, 0, 0, 0],1922,[0.546272, 0, 0, 0]
Valor absoluto Gradient Y,[2.17, 0, 0, 0],1624,[2.71121, 0, 0, 0]
Sobel,[3.18372, 0, 0, 0],2075,[3.28867, 0, 0, 0]
EyeROI,[82.5552, 0, 0, 0],2089,[93.0017, 0, 0, 0]
Gradient Y,[0.630714, 0, 0, 0],2009,[-2.20955, 0, 0, 0]
Valor absoluto Gradient Y,[4.43667, 0, 0, 0],1823,[6.29654, 0, 0, 0]
Sobel,[9.81635, 0, 0, 0],2096,[19.5157, 0, 0, 0]
Gradient Y,[-0.0218605, 0, 0, 0],1968,[-1.34239, 0, 0, 0]
Valor absoluto Gradient Y,[2.26419, 0, 0, 0],1674,[3.07432, 0, 0, 0]
Sobel,[3.27908, 0, 0, 0],2133,[4.29688, 0, 0, 0]
EyeROI,[81.4647, 0, 0, 0],2135,[91.3008, 0, 0, 0]
Gradient Y,[0.381628, 0, 0, 0],2045,[-1.04569, 0, 0, 0]
Valor absoluto Gradient Y,[4.30605, 0, 0, 0],1862,[6.27232, 0, 0, 0]
Sobel,[9.43781, 0, 0, 0],2149,[18.9339, 0, 0, 0]
Gradient Y,[-0.0688372, 0, 0, 0],1946,[-1.90721, 0, 0, 0]
Valor absoluto Gradient Y,[2.29721, 0, 0, 0],1603,[2.79853, 0, 0, 0]
Sobel,[3.44852, 0, 0, 0],2131,[5.40429, 0, 0, 0]
EyeROI,[81.8381, 0, 0, 0],2139,[91.1372, 0, 0, 0]
Gradient Y,[0.600233, 0, 0, 0],2067,[1.1221, 0, 0, 0]
Valor absoluto Gradient Y,[4.71395, 0, 0, 0],1909,[8.16592, 0, 0, 0]
Sobel,[10.3706, 0, 0, 0],2146,[21.9331, 0, 0, 0]
Gradient Y,[0.156667, 0, 0, 0],1925,[1.26557, 0, 0, 0]
Valor absoluto Gradient Y,[2.05524, 0, 0, 0],1608,[2.93881, 0, 0, 0]
Sobel,[3.14873, 0, 0, 0],2088,[4.01124, 0, 0, 0]
EyeROI,[80.1448, 0, 0, 0],2084,[93.5151, 0, 0, 0]
Gradient Y,[1.04119, 0, 0, 0],1985,[4.06018, 0, 0, 0]
Valor absoluto Gradient Y,[3.52952, 0, 0, 0],1805,[4.09844, 0, 0, 0]
Sobel,[8.80406, 0, 0, 0],2096,[14.2487, 0, 0, 0]
Gradient Y,[0.0437209, 0, 0, 0],1963,[0.778097, 0, 0, 0]
Valor absoluto Gradient Y,[2.06233, 0, 0, 0],1623,[0.368464, 0, 0, 0]
Sobel,[3.0194, 0, 0, 0],2132,[0.794847, 0, 0, 0]
EyeROI,[78.8842, 0, 0, 0],2134,[92.329, 0, 0, 0]
Gradient Y,[0.426279, 0, 0, 0],2046,[0.301022, 0, 0, 0]
Valor absoluto Gradient Y,[4.29535, 0, 0, 0],1840,[8.42702, 0, 0, 0]
Sobel,[8.79611, 0, 0, 0],2145,[20.3835, 0, 0, 0]
Gradient Y,[0.236667, 0, 0, 0],1936,[0.967002, 0, 0, 0]
Valor absoluto Gradient Y,[2.2381, 0, 0, 0],1618,[2.4143, 0, 0, 0]
Sobel,[3.29012, 0, 0, 0],2075,[3.84301, 0, 0, 0]
EyeROI,[79.0419, 0, 0, 0],2084,[89.9376, 0, 0, 0]
Gradient Y,[0.399524, 0, 0, 0],2008,[-0.985938, 0, 0, 0]
Valor absoluto Gradient Y,[4.74381, 0, 0, 0],1846,[5.31594, 0, 0, 0]
Sobel,[10.1705, 0, 0, 0],2100,[17.5736, 0, 0, 0]
Gradient Y,[0.211395, 0, 0, 0],1993,[-0.566034, 0, 0, 0]
Valor absoluto Gradient Y,[2.19023, 0, 0, 0],1675,[2.09605, 0, 0, 0]
Sobel,[3.18537, 0, 0, 0],2133,[3.10123, 0, 0, 0]
EyeROI,[79.327, 0, 0, 0],2134,[90.8355, 0, 0, 0]
Gradient Y,[0.394419, 0, 0, 0],2050,[0.53619, 0, 0, 0]
Valor absoluto Gradient Y,[4.74326, 0, 0, 0],1862,[7.10948, 0, 0, 0]
Sobel,[9.94955, 0, 0, 0],2143,[17.1746, 0, 0, 0]
Gradient Y,[0.324186, 0, 0, 0],1985,[-1.59623, 0, 0, 0]
Valor absoluto Gradient Y,[2.34465, 0, 0, 0],1675,[3.17464, 0, 0, 0]
Sobel,[3.18743, 0, 0, 0],2125,[4.82431, 0, 0, 0]
EyeROI,[79.0563, 0, 0, 0],2139,[101.334, 0, 0, 0]
Gradient Y,[0.503023, 0, 0, 0],2048,[5.35167, 0, 0, 0]
Valor absoluto Gradient Y,[4.25395, 0, 0, 0],1844,[5.27408, 0, 0, 0]
Sobel,[8.59387, 0, 0, 0],2143,[12.6429, 0, 0, 0]
Gradient Y,[0.286667, 0, 0, 0],1901,[-2.26605, 0, 0, 0]
Valor absoluto Gradient Y,[2.30952, 0, 0, 0],1583,[1.64997, 0, 0, 0]
Sobel,[3.25081, 0, 0, 0],2073,[1.87729, 0, 0, 0]
EyeROI,[79.8486, 0, 0, 0],2084,[95.5246, 0, 0, 0]
Gradient Y,[0.575714, 0, 0, 0],2009,[1.30484, 0, 0, 0]
Valor absoluto Gradient Y,[4.58238, 0, 0, 0],1844,[6.19113, 0, 0, 0]
Sobel,[9.35894, 0, 0, 0],2097,[16.7822, 0, 0, 0]
Gradient Y,[0.305952, 0, 0, 0],1914,[-1.74717, 0, 0, 0]
Valor absoluto Gradient Y,[2.39381, 0, 0, 0],1598,[3.83683, 0, 0, 0]
Sobel,[3.3592, 0, 0, 0],2087,[5.29344, 0, 0, 0]
EyeROI,[78.8595, 0, 0, 0],2084,[92.0667, 0, 0, 0]
Gradient Y,[0.349762, 0, 0, 0],2007,[2.87826, 0, 0, 0]
Valor absoluto Gradient Y,[4.97571, 0, 0, 0],1847,[3.5163, 0, 0, 0]
